Price,Adj Close,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM,IBM
Date,,,,,,
13-04-2015,101.564537,155.2389984,156.7877655,155.2198792,155.2294464,4046869
14-04-2015,101.5145264,155.1625214,155.5831757,153.7189331,155.2772522,2844388
15-04-2015,102.6591492,156.9120483,157.7055511,155.3537292,155.4780121,3659745
16-04-2015,102.0336609,155.9560242,156.7686462,155.3919678,156.1281128,3281197
17-04-2015,100.4950104,153.6042023,154.7418671,152.9923553,154.6367035,4512862
20-04-2015,103.9288254,158.8527679,159.3116608,154.7801208,154.9713135,10051223
21-04-2015,102.7404709,157.0363312,160.0191193,156.8355713,158.7667236,10129046
22-04-2015,103.4284668,158.0879517,158.6998138,155.7265778,157.160614,4209941
23-04-2015,106.4807739,162.7533417,164.3498993,157.8776245,157.9636688,8614438
24-04-2015,106.1930771,162.3135834,163.3365173,161.3193054,162.7437897,4067266
27-04-2015,106.7872696,163.2218018,163.9483795,162.8106995,163.3747559,3314356
28-04-2015,108.7825546,166.2715149,167.0076447,162.5430145,163.3173981,6084268
29-04-2015,109.0827789,166.7304077,167.428299,165.2007599,165.7743835,4726246
30-04-2015,107.1375351,163.7571716,166.6156769,162.8106995,166.1281128,5295793
01-05-2015,108.6261826,166.0325012,166.3479919,164.8374786,165.5831757,3464457
04-05-2015,108.8137665,166.3193054,168.5468445,166.0611877,166.7973175,4213288
05-05-2015,108.2571259,165.4684448,166.5678711,164.3977051,165.8795471,3758906
06-05-2015,107.1668549,162.571701,166.3957977,161.4340363,165.2963715,3778780
07-05-2015,107.7592392,163.4703674,164.4168243,161.6061249,162.170166,2585712
08-05-2015,108.8243332,165.0860443,165.7074585,164.66539,165.33461,3234860
11-05-2015,107.8411865,163.5946503,165.3824158,163.3460846,165.0573578,2783406
12-05-2015,107.4819641,163.0497131,163.9483795,161.414917,163.0497131,3098670
13-05-2015,108.5722427,164.7036285,165.1434021,163.240921,163.7093658,2570545
14-05-2015,109.6877289,166.3957977,166.7304077,165.6022949,165.8699799,2551299
15-05-2015,109.1898422,165.6405334,166.7399597,165.0095673,166.2619476,3050764
